name_key,full_name,birth_date,espn_id
brycebrown,Bryce Brown,1991-05-14,15092.0
brynrenner,Bryn Renner,1990-01-22,
calvinjohnson,Calvin Johnson,1985-09-29,10447.0
calvinpace,Calvin Pace,1980-10-28,
carielbrooks,Cariel Brooks,1991-04-24,
carywilliams,Cary Williams,1984-12-23,
caseywalker,Casey Walker,1989-12-06,
cassiusvaughn,Cassius Vaughn,1987-11-03,
chandlerworthy,Chandler Worthy,1993-09-15,
charlesbrown,Charles Brown,1987-04-10,
charlesgodfrey,Charles Godfrey,1985-11-15,
charlestillman,Charles Tillman,1981-02-23,
charleswoodson,Charles Woodson,1976-10-07,
chaseford,Chase Ford,1990-07-19,
chriscanty,Chris Canty,1982-11-10,
chrisclemons,Chris Clemons,1985-09-15,
chrisgivens,Chris Givens,1989-12-06,15078.0
chrisowusu,Chris Owusu,1990-01-06,
chrispolk,Chris Polk,1989-12-16,14889.0
christobilukidi,Christo Bilukidi,1989-12-13,
christopherowens,Christopher Owens,1986-12-01,
cierrewood,Cierre Wood,1991-02-21,16496.0
clintgresham,Clint Gresham,1986-08-24,
colincole,Colin Cole,1980-06-24,
coopertaylor,Cooper Taylor,1990-04-14,
cordarrolaw,Cordarro Law,1988-10-15,
cornelliuscarradine,Cornellius Carradine,1990-02-18,15829.0
cortlandfinnegan,Cortland Finnegan,1984-02-02,
coryredding,Cory Redding,1980-11-15,
craigdahl,Craig Dahl,1985-06-17,
craigloston,Craig Loston,1989-12-21,
curtislofton,Curtis Lofton,1986-06-09,
curtismarsh,Curtis Marsh,1988-03-01,
danthonysmith,D'Anthony Smith,1988-06-09,
dbrickashawferguson,D'Brickashaw Ferguson,1983-12-10,
daquanbowers,Da'Quan Bowers,1990-02-23,
dallasreynolds,Dallas Reynolds,1984-04-23,
damarisjohnson,Damaris Johnson,1989-11-22,
danherron,Dan Herron,1989-03-21,15041.0
danieladongo,Daniel Adongo,1989-10-12,
danielfells,Daniel Fells,1983-09-23,
dannyaiken,Danny Aiken,1988-08-28,
dannylansanah,Danny Lansanah,1985-08-28,
dannymccray,Danny McCray,1988-03-10,
dariuseubanks,Darius Eubanks,1991-07-12,
dariusfleming,Darius Fleming,1989-07-19,
darrelyoung,Darrel Young,1987-04-08,
darrianmiller,Darrian Miller,1993-04-08,
darrinwalls,Darrin Walls,1988-06-20,
davidfoucault,David Foucault,1989-01-07,
davidhawthorne,David Hawthorne,1985-05-14,
davidmolk,David Molk,1988-12-15,
davoncoleman,Davon Coleman,1991-01-11,
deantesaunders,De'Ante Saunders,1992-09-19,
demecoryans,DeMeco Ryans,1984-07-28,
demarcusdobbs,Demarcus Dobbs,1987-11-30,
denariusmoore,Denarius Moore,1988-12-09,14153.0
dionbailey,Dion Bailey,1992-03-02,
donaldbrown,Donald Brown,1987-04-11,12489.0
douglegursky,Doug Legursky,1986-06-09,
dougworthington,Doug Worthington,1987-08-10,
drewnowak,Drew Nowak,1990-03-07,
dwanedwards,Dwan Edwards,1981-05-16,
dwaynebowe,Dwayne Bowe,1984-09-21,10467.0
dwightbentley,Dwight Bentley,1989-05-16,
dylanthompson,Dylan Thompson,1991-10-25,
ejbiggers,E.J. Biggers,1987-06-13,
emmanuelacho,Emmanuel Acho,1990-11-10,
ericmartin,Eric Martin,1991-07-21,
ericpatterson,Eric Patterson,1993-02-05,
erikpears,Erik Pears,1982-06-25,
eugenemonroe,Eugene Monroe,1987-04-18,
evanspencer,Evan Spencer,1993-05-26,2576396.0
evanderhood,Evander Hood,1987-02-16,12442.0
fernandovelasco,Fernando Velasco,1985-02-22,
frankkearse,Frank Kearse,1988-10-28,
fredjackson,Fred Jackson,1981-02-20,10195.0
geoffschwartz,Geoff Schwartz,1986-07-11,
georgeselvie,George Selvie,1987-03-06,
greghardy,Greg Hardy,1988-07-28,
gregjennings,Greg Jennings,1983-09-21,9638.0
gregorytoler,Gregory Toler,1985-01-02,
hakeemnicks,Hakeem Nicks,1988-01-14,12586.0
heathmiller,Heath Miller,1982-10-22,8444.0
henrymelton,Henry Melton,1986-10-11,
husainabdullah,Husain Abdullah,1985-07-27,
ishmaailykitchen,Ishmaa'ily Kitchen,1988-08-24,
jdwalton,J.D. Walton,1987-03-24,
jacksonjeffcoat,Jackson Jeffcoat,1990-12-26,
jacquesmcclendon,Jacques McClendon,1987-12-10,
jaiquawnjarrett,Jaiquawn Jarrett,1989-09-21,
jakestoneburner,Jake Stoneburner,1989-08-25,
jalilbrown,Jalil Brown,1987-10-14,
jamarilattimore,Jamari Lattimore,1988-10-06,
jamellfleming,Jamell Fleming,1989-05-05,
jamesanderson,James Anderson,1983-09-26,
jamescasey,James Casey,1984-09-22,
jamesjones,James Jones,1984-03-31,10522.0
jamesmichaeljohnson,James-Michael Johnson,1989-08-20,
jamonmeredith,Jamon Meredith,1986-05-11,
jaredallen,Jared Allen,1982-04-03,
jarrydhayne,Jarryd Hayne,1988-02-15,3423412.0
jarvisharrison,Jarvis Harrison,1991-12-25,
jasonavant,Jason Avant,1983-04-20,9695.0
jasonbabin,Jason Babin,1980-05-24,
jasonfox,Jason Fox,1988-05-02,
jasonhatcher,Jason Hatcher,1982-07-13,
jasperbrinkley,Jasper Brinkley,1985-07-12,
jayratliff,Jay Ratliff,1981-08-29,
jayronhosley,Jayron Hosley,1990-09-18,
jaysondimanche,Jayson DiManche,1990-09-22,
jefflinkenbach,Jeff Linkenbach,1987-06-09,
jeoffreypagan,Jeoffrey Pagan,1993-06-10,
jeremiahwarren,Jeremiah Warren,1987-09-20,
jeremyharris,Jeremy Harris,1991-04-26,
jeremymincey,Jeremy Mincey,1983-12-14,
jermellecudjo,Jermelle Cudjo,1986-09-28,
jerodmayo,Jerod Mayo,1986-02-23,
jeromecouplin,Jerome Couplin,1991-08-31,
jeromesimpson,Jerome Simpson,1986-02-04,11280.0
jerrichocotchery,Jerricho Cotchery,1982-06-16,5633.0
jimmyclausen,Jimmy Clausen,1987-09-21,13198.0
jimmywilson,Jimmy Wilson,1986-07-30,
jolonndunbar,Jo-Lonn Dunbar,1985-03-13,
joemays,Joe Mays,1985-07-06,
joemorgan,Joe Morgan,1988-03-23,
joeyiosefa,Joey Iosefa,1991-06-19,
johnlotulelei,John Lotulelei,1991-12-04,
johnnietroutman,Johnnie Troutman,1987-11-11,
johnnymanziel,Johnny Manziel,1992-12-06,16736.0
jonbeason,Jon Beason,1985-01-14,
jonasgray,Jonas Gray,1990-06-27,15364.0
jonathankrause,Jonathan Krause,1992-01-18,
jonathannewsome,Jonathan Newsome,1991-01-22,
jordankovacs,Jordan Kovacs,1990-06-12,
jorvorskielane,Jorvorskie Lane,1987-02-04,
josephfauria,Joseph Fauria,1990-01-16,
josephrandle,Joseph Randle,1991-12-29,16013.0
joshaubrey,Josh Aubrey,1991-04-09,
joshboyd,Josh Boyd,1989-08-03,
joshbush,Josh Bush,1989-03-05,
joshfreeman,Josh Freeman,1988-01-13,12473.0
joshscobee,Josh Scobee,1982-06-23,
joshwilson,Josh Wilson,1985-03-11,
joshuamauga,Joshua Mauga,1987-06-20,
julianvandervelde,Julian Vandervelde,1987-10-07,
justicecunningham,Justice Cunningham,1991-01-14,
justintuck,Justin Tuck,1983-03-29,
justintuggle,Justin Tuggle,1990-01-04,
kavellconner,Kavell Conner,1987-02-23,
keenanlambert,Keenan Lambert,1992-02-28,
keenanlewis,Keenan Lewis,1986-05-17,
kenbishop,Ken Bishop,1990-09-08,
kendallgaskins,Kendall Gaskins,1990-11-04,
kendallhunter,Kendall Hunter,1988-09-16,14159.0
kennyanunike,Kenny Anunike,1990-05-22,
kennydemens,Kenny Demens,1990-02-04,
kennyphillips,Kenny Phillips,1986-11-24,
kenrickellis,Kenrick Ellis,1987-12-10,
kevinreddick,Kevin Reddick,1989-12-28,
kevinwilliams,Kevin Williams,1980-08-16,
khaledholmes,Khaled Holmes,1990-01-19,
kimariomcfadden,Kimario McFadden,1991-04-13,
konradreuland,Konrad Reuland,1987-04-04,
kroybiermann,Kroy Biermann,1985-09-12,
kylebrindza,Kyle Brindza,1993-01-13,
kylemiller,Kyle Miller,1988-04-18,
kyshoenjarrett,Kyshoen Jarrett,1993-05-04,
lamarrwoodley,LaMarr Woodley,1984-11-03,
lamichaeljames,LaMichael James,1989-10-22,14890.0
lancelouis,Lance Louis,1985-04-24,
lancemoore,Lance Moore,1983-08-31,9400.0
larryasante,Larry Asante,1988-03-07,
lawrencesidbury,Lawrence Sidbury,1986-02-06,
lemueljeanpierre,Lemuel Jeanpierre,1987-05-19,
leonardhankerson,Leonard Hankerson,1989-01-30,14021.0
leterriuswalton,Leterrius Walton,1992-03-31,2516417.0
loganmankins,Logan Mankins,1982-03-10,
louisnix,Louis Nix,1991-07-31,
louisvasquez,Louis Vasquez,1987-04-11,
lylesendlein,Lyle Sendlein,1984-03-16,
mackenzybernadeau,Mackenzy Bernadeau,1986-01-03,
malcomfloyd,Malcom Floyd,1981-09-08,6016.0
mannylawson,Manny Lawson,1984-07-03,
manuelramirez,Manuel Ramirez,1983-02-19,
marceljensen,Marcel Jensen,1990-02-12,
marcusthigpen,Marcus Thigpen,1986-05-15,
mariobutler,Mario Butler,1988-10-20,
markuskuhn,Markus Kuhn,1986-05-05,
marlonmoore,Marlon Moore,1987-09-03,
marquescolston,Marques Colston,1983-06-05,9838.0
mattdaniels,Matt Daniels,1989-09-27,
mattflynn,Matt Flynn,1985-06-20,11443.0
matthasselbeck,Matt Hasselbeck,1975-09-25,1575.0
mattspaeth,Matt Spaeth,1983-11-24,
matthewmasifilo,Matthew Masifilo,1989-10-01,
matthewmcgloin,Matthew McGloin,1989-12-02,16593.0
merrillnoel,Merrill Noel,1991-09-10,
michaelmitchell,Michael Mitchell,1987-06-10,12619.0
michaelmorgan,Michael Morgan,1988-01-16,
michaelvick,Michael Vick,1980-06-26,2549.0
mickeyshuler,Mickey Shuler,1986-10-09,
mikedevito,Mike Devito,1984-06-10,
mikeharris,Mike Harris,1988-12-05,
mikeleach,Mike Leach,1976-10-18,
mikemartin,Mike Martin,1990-09-01,
mikemcglynn,Mike McGlynn,1985-03-08,
mikemohamed,Mike Mohamed,1988-03-11,
mikeneal,Mike Neal,1987-06-26,
mikescifres,Mike Scifres,1980-10-08,
milesaustin,Miles Austin,1984-06-30,10147.0
mitchellhenry,Mitchell Henry,1992-12-11,
myleswhite,Myles White,1990-03-30,
natechandler,Nate Chandler,1989-06-01,
nateirving,Nate Irving,1988-07-12,
natewashington,Nate Washington,1983-08-28,9307.0
nathanstupar,Nathan Stupar,1988-03-14,15040.0
nicjacobs,Nic Jacobs,1991-10-13,
nickhayden,Nick Hayden,1986-02-04,
nicktoon,Nick Toon,1988-11-04,14921.0
nicojohnson,Nico Johnson,1990-06-19,
omarbolden,Omar Bolden,1988-12-20,
orielemon,Orie Lemon,1987-09-09,
owamagbeodighizuwa,Owamagbe Odighizuwa,1992-04-01,
owendaniels,Owen Daniels,1982-11-09,9684.0
patdevlin,Pat Devlin,1988-04-12,
pauldawson,Paul Dawson,1993-01-13,
peytonmanning,Peyton Manning,1976-03-24,1428.0
phillipadams,Phillip Adams,1988-07-20,
philliphunt,Phillip Hunt,1986-01-10,
pierrethomas,Pierre Thomas,1984-12-18,10713.0
prestonparker,Preston Parker,1987-02-13,13703.0
quintoncoples,Quinton Coples,1990-06-22,
rahimmoore,Rahim Moore,1990-02-11,
randystarks,Randy Starks,1983-12-14,
rasheanmathis,Rashean Mathis,1980-08-27,
redbryant,Red Bryant,1984-04-18,
reidfragel,Reid Fragel,1991-02-22,
ricardolockette,Ricardo Lockette,1986-05-21,
richardgordon,Richard Gordon,1987-06-07,
richiebrockel,Richie Brockel,1986-07-24,
rickywagner,Ricky Wagner,1989-10-21,
ricorichardson,Rico Richardson,1991-07-01,
rileycooper,Riley Cooper,1987-09-09,13225.0
robhousler,Rob Housler,1988-03-17,14009.0
roddywhite,Roddy White,1981-11-02,8442.0
ropatipitoitua,Ropati Pitoitua,1985-04-06,
rossventrone,Ross Ventrone,1986-09-27,
royhelu,Roy Helu,1988-12-07,14192.0
ryanlindley,Ryan Lindley,1989-06-22,14883.0
saalimhakim,Saalim Hakim,1990-02-01,
sammieleehill,Sammie Lee Hill,1986-11-08,
scottchandler,Scott Chandler,1985-07-23,10572.0
scottsolomon,Scott Solomon,1988-11-05,
seanrenfree,Sean Renfree,1990-04-28,
seanrichardson,Sean Richardson,1990-01-21,
seyiajirotutu,Seyi Ajirotutu,1987-06-12,
shaunprater,Shaun Prater,1989-10-27,
shaynegraham,Shayne Graham,1977-12-09,
shelleysmith,Shelley Smith,1987-05-21,
sherrodmartin,Sherrod Martin,1984-10-12,
spencerlanning,Spencer Lanning,1988-05-21,
stephenbowen,Stephen Bowen,1984-03-28,
steveweatherford,Steve Weatherford,1982-12-17,
stevenhauschka,Steven Hauschka,1985-06-29,11923.0
stevenjackson,Steven Jackson,1983-07-22,5549.0
tjfatinikun,T.J. Fatinikun,1991-07-28,
tjgraham,T.J. Graham,1989-07-27,14920.0
tannerhawkinson,Tanner Hawkinson,1990-05-14,
tarellbrown,Tarell Brown,1985-01-06,
tarvarisjackson,Tarvaris Jackson,1983-04-21,9650.0
taygloverwright,Tay Glover-Wright,1992-06-28,
taylormays,Taylor Mays,1988-02-07,
tayofabuluje,Tayo Fabuluje,1991-07-17,
terranceknighton,Terrance Knighton,1986-07-04,
terranceplummer,Terrance Plummer,1993-06-20,
terrywilliams,Terry Williams,1992-04-15,
tevinmcdonald,Tevin McDonald,1992-07-17,
thaddeuslewis,Thaddeus Lewis,1987-11-19,
timjennings,Tim Jennings,1983-12-24,
timmasthay,Tim Masthay,1987-03-16,
tobenopurum,Toben Opurum,1990-11-18,
tobygerhart,Toby Gerhart,1987-03-28,13211.0
toddherremans,Todd Herremans,1982-10-13,
tonymoeaki,Tony Moeaki,1987-06-08,13289.0
tonysteward,Tony Steward,1992-09-19,
tramainjacobs,Tramain Jacobs,1992-05-20,
travislewis,Travis Lewis,1988-01-15,
traywalker,Tray Walker,1992-08-05,
trentonrobinson,Trenton Robinson,1990-02-16,
treywatts,Trey Watts,1991-02-13,
trumainemcbride,Trumaine McBride,1985-09-24,
tylerclutts,Tyler Clutts,1984-11-09,
tylermurphy,Tyler Murphy,1992-01-12,
tylerpolumbus,Tyler Polumbus,1985-04-10,
tylervarga,Tyler Varga,1993-09-24,
vickballard,Vick Ballard,1990-07-16,14898.0
vincentbrown,Vincent Brown,1989-01-25,14027.0
walterpowell,Walter Powell,1991-11-23,
walterthurmond,Walter Thurmond,1987-08-12,
weswelker,Wes Welker,1981-05-01,5941.0
willallen,Will Allen,1982-06-17,
willhill,Will Hill,1990-03-07,
willmontgomery,Will Montgomery,1983-02-13,
williammoore,William Moore,1985-05-18,
williecolon,Willie Colon,1983-04-09,
yannikcudjoevirgil,Yannik Cudjoe-Virgil,1992-11-28,
zacstacy,Zac Stacy,1991-04-09,15996.0
zachhocker,Zach Hocker,1991-08-23,
zackarybowman,Zackary Bowman,1984-11-18,
zurlontipton,Zurlon Tipton,1989-04-27,
ajhawk,A.J. Hawk,1984-01-06,
aarondobson,Aaron Dobson,1991-07-23,15834.0
aaronepps,Aaron Epps,1992-11-16,
aarongrymes,Aaron Grymes,1991-03-01,
aaronwilliams,Aaron Williams,1990-04-23,
adrianmcdonald,Adrian McDonald,1994-03-18,
akeemdavis,Akeem Davis,1989-12-25,
alhajjshabazz,Al-Hajj Shabazz,1992-08-02,
alvinbailey,Alvin Bailey,1991-08-26,
amarloherrera,Amarlo Herrera,1991-09-20,
andrejohnson,Andre Johnson,1981-07-11,4461.0
andrewfranks,Andrew Franks,1993-01-11,
andrewgardner,Andrew Gardner,1986-04-04,
andrewhawkins,Andrew Hawkins,1986-03-10,
andrewquarless,Andrew Quarless,1988-10-06,
andrewtiller,Andrew Tiller,1989-03-13,
andrewturzilli,Andrew Turzilli,1991-10-13,
andrewwilliamson,Andrew Williamson,1992-11-18,
andygallik,Andy Gallik,1991-09-24,
anquanboldin,Anquan Boldin,1980-10-03,4512.0
anthonydavis,Anthony Davis,1989-10-11,
antonesmith,Antone Smith,1985-09-17,13158.0
antonioallen,Antonio Allen,1988-09-23,
antonioandrews,Antonio Andrews,1992-08-17,17105.0
antoniocromartie,Antonio Cromartie,1984-04-15,
antoniosmith,Antonio Smith,1981-10-21,
antwangoodley,Antwan Goodley,1991-09-06,
arianfoster,Arian Foster,1986-08-24,12497.0
arthurbrown,Arthur Brown,1990-06-17,
arturouzdavinis,Arturo Uzdavinis,1992-11-02,
ashaadmabry,Ashaad Mabry,1992-11-04,
audiecole,Audie Cole,1989-06-01,
bjdaniels,B.J. Daniels,1989-10-24,
bacarrirambo,Bacarri Rambo,1990-06-27,
beausandland,Beau Sandland,1993-02-23,
benedwards,Ben Edwards,1992-04-10,
bengardner,Ben Gardner,1991-04-29,
bengottschalk,Ben Gottschalk,1992-02-15,
bennettokotcha,Bennett Okotcha,1993-02-07,
blakeannen,Blake Annen,1991-05-28,
blakemuir,Blake Muir,1991-05-10,
bobbyrichardson,Bobby Richardson,1992-11-20,
bralonaddison,Bralon Addison,1993-10-12,2971271.0
brandenalbert,Branden Albert,1984-11-04,
brandonbostick,Brandon Bostick,1989-05-03,
brandonbrowndukes,Brandon Brown-Dukes,1992-04-29,
brandonburks,Brandon Burks,1993-11-01,
brandoncottom,Brandon Cottom,1992-12-21,
brandonflowers,Brandon Flowers,1986-02-18,
brandonmyers,Brandon Myers,1985-09-04,12705.0
brandonpettigrew,Brandon Pettigrew,1985-02-23,12549.0
brandonshippen,Brandon Shippen,1994-05-17,
brandonspikes,Brandon Spikes,1987-09-03,
brandonthompson,Brandon Thompson,1989-10-19,
brandonwatts,Brandon Watts,1991-01-21,
brennenbeyer,Brennen Beyer,1992-11-25,
briandixon,Brian Dixon,1990-04-26,
brianrandolph,Brian Randolph,1992-10-20,
brockhekking,Brock Hekking,1991-10-06,
brucegaston,Bruce Gaston,1991-11-29,
brucegradkowski,Bruce Gradkowski,1983-01-27,9780.0
bryanwalters,Bryan Walters,1987-11-04,
byronstingily,Byron Stingily,1988-09-09,
cjwilson,C.J. Wilson,1987-03-30,
carlosfields,Carlos Fields,1990-10-03,
carloswray,Carlos Wray,1993-10-03,
carterbykowski,Carter Bykowski,1990-07-25,
cavellisluckett,Cavellis Luckett,1992-12-06,
cecilshorts,Cecil Shorts,1987-12-22,14184.0
cedriconeal,Cedric O'Neal,1994-01-29,
cedricthompson,Cedric Thompson,1993-02-10,
chadgreenway,Chad Greenway,1983-01-12,
charlesgaines,Charles Gaines,1992-10-03,
charlesjames,Charles James,1990-05-14,
charliewhitehurst,Charlie Whitehurst,1982-08-06,9667.0
chasalecxih,Chas Alecxih,1989-02-10,
chasecoffman,Chase Coffman,1986-11-10,
chasereynolds,Chase Reynolds,1987-10-22,
chimdichekwa,Chimdi Chekwa,1988-01-07,
chrischester,Chris Chester,1983-01-12,
chrisdavis,Chris Davis,1990-11-04,
chrisharper,Chris Harper,1993-12-07,2978196.0
chrishubert,Chris Hubert,1993-05-08,
chrisking,Chris King,1993-12-13,
chrislewisharris,Chris Lewis-Harris,1989-02-11,15713.0
chrismartin,Chris Martin,1990-01-04,
chrismayes,Chris Mayes,1991-09-27,
chrisswain,Chris Swain,1992-11-17,
chriswatt,Chris Watt,1990-08-17,
christianbryant,Christian Bryant,1992-03-21,
christianponder,Christian Ponder,1988-02-25,13966.0
chukandulue,Chuka Ndulue,1991-08-27,
chykiebrown,Chykie Brown,1986-12-26,
claydebord,Clay DeBord,1992-05-13,
cleyonlaing,Cleyon Laing,1990-11-21,
cliffmatthews,Cliff Matthews,1989-08-05,
codywallace,Cody Wallace,1984-11-26,
colemanhart,Cole Manhart,1992-09-25,
colinkaepernick,Colin Kaepernick,1987-11-03,14001.0
connorhamlett,Connor Hamlett,1992-04-12,
connorshaw,Connor Shaw,1991-09-19,
connorwujciak,Connor Wujciak,1992-09-24,
cooperhelfet,Cooper Helfet,1989-06-02,
coreybrown,Corey Brown,1991-12-16,17399.0
coreywashington,Corey Washington,1991-12-29,17279.0
coreywhite,Corey White,1990-05-09,
cortezallen,Cortez Allen,1988-10-29,
coryharkey,Cory Harkey,1990-06-17,
coryjohnson,Cory Johnson,1992-04-10,
craigstevens,Craig Stevens,1984-09-01,11319.0
craigwatts,Craig Watts,1991-06-20,
crezdonbutler,Crezdon Butler,1987-05-26,
cullenjenkins,Cullen Jenkins,1981-01-20,
curtmaggitt,Curt Maggitt,1993-02-04,
cyrilrichardson,Cyril Richardson,1990-12-27,
djounsmith,D'Joun Smith,1992-09-23,
dqwelljackson,D'Qwell Jackson,1983-09-26,
djpettway,D.J. Pettway,1992-09-19,
daronbrown,Da'Ron Brown,1991-09-21,2513351.0
daimionstafford,Daimion Stafford,1991-02-18,
dallasthomas,Dallas Thomas,1989-10-30,
daltonfreeman,Dalton Freeman,1990-06-18,
damianswann,Damian Swann,1992-12-04,
dancarpenter,Dan Carpenter,1985-11-25,
danorlovsky,Dan Orlovsky,1983-08-18,8559.0
danpettinato,Dan Pettinato,1992-04-24,
danskuta,Dan Skuta,1986-04-21,
danwilliams,Dan Williams,1987-06-01,
dannymason,Danny Mason,1990-10-14,
dariongriswold,Darion Griswold,1992-12-23,
darrellstuckey,Darrell Stuckey,1987-06-16,
darrinreaves,Darrin Reaves,1993-04-17,17397.0
darrionweems,Darrion Weems,1988-09-04,
darrylbaldwin,Darryl Baldwin,1991-10-06,
darylrichardson,Daryl Richardson,1990-04-12,15111.0
darylsmith,Daryl Smith,1982-03-14,
dashongoldson,Dashon Goldson,1984-09-18,
davidarkin,David Arkin,1987-10-07,
davidbruton,David Bruton,1987-07-23,
davidcobb,David Cobb,1993-06-03,2576303.0
daviddean,David Dean,1993-02-16,
davidwatford,David Watford,1993-06-16,
davistull,Davis Tull,1991-11-12,2520845.0
daxswanson,Dax Swanson,1991-03-21,
deandrelevy,DeAndre Levy,1987-03-26,
deangelowilliams,DeAngelo Williams,1983-04-25,9613.0
demarcusware,DeMarcus Ware,1982-07-31,
deemilliner,Dee Milliner,1991-09-14,
deionbarnes,Deion Barnes,1993-01-20,
demetriuscherry,Demetrius Cherry,1992-06-21,
denardrobinson,Denard Robinson,1990-09-22,15951.0
dennisparks,Dennis Parks,1994-07-27,
dennispitta,Dennis Pitta,1985-06-29,13231.0
deontegibson,Deonte Gibson,1993-02-22,
desmondbryant,Desmond Bryant,1985-12-15,
devinhester,Devin Hester,1982-11-04,9643.0
devinstreet,Devin Street,1991-03-30,16815.0
devoncajuste,Devon Cajuste,1993-01-31,
devonjohnson,Devon Johnson,1993-07-28,
devonstill,Devon Still,1989-07-11,
devontejohnson,Devonte Johnson,1993-01-03,
dextermccluster,Dexter McCluster,1988-08-25,13207.0
dezstewart,Dez Stewart,1993-04-18,
dezmanmoses,Dezman Moses,1989-01-04,
dezminlewis,Dezmin Lewis,1992-12-05,
dobsoncollins,Dobson Collins,1987-07-12,
dominiquejones,Dominique Jones,1987-08-15,
dominiquewilliams,Dominique Williams,1990-09-02,
donjackson,Don Jackson,1993-09-07,
donaldbutler,Donald Butler,1988-10-17,
dontewhitner,Donte Whitner,1985-07-24,
donteeadye,Donteea Dye,1993-08-20,3894952.0
dorialgreenbeckham,Dorial Green-Beckham,1993-04-12,2971433.0
dougfree,Doug Free,1984-01-16,
dreamiussmith,Dreamius Smith,1992-09-08,
drewbutler,Drew Butler,1989-05-10,
driarcher,Dri Archer,1991-08-09,16755.0
dujuanharris,DuJuan Harris,1988-09-03,14255.0
dukeihenacho,Duke Ihenacho,1989-06-16,
durelleskridge,Durell Eskridge,1991-12-17,
dwaynegratz,Dwayne Gratz,1990-03-08,
dwightlowery,Dwight Lowery,1986-01-23,
dylanwynn,Dylan Wynn,1993-06-01,
ejbibbs,E.J. Bibbs,1991-08-28,3039924.0
edreynolds,Ed Reynolds,1991-10-18,
eddieroyal,Eddie Royal,1986-05-21,11276.0
egoferguson,Ego Ferguson,1991-09-22,
ericpinkins,Eric Pinkins,1991-08-07,16849.0
erinhenderson,Erin Henderson,1986-07-01,
eugenesims,Eugene Sims,1986-03-18,
evanmathis,Evan Mathis,1981-11-01,
frankiehammond,Frankie Hammond,1990-02-17,
frankiewilliams,Frankie Williams,1993-03-28,
garrettgraham,Garrett Graham,1986-08-04,13371.0
garrettreynolds,Garrett Reynolds,1987-07-01,
garybarnidge,Gary Barnidge,1985-09-22,11364.0
georgefarmer,George Farmer,1993-07-04,
geraldchristian,Gerald Christian,1991-08-26,
geraldrivers,Gerald Rivers,1990-06-22,
glenndorsey,Glenn Dorsey,1985-08-01,
glenngronkowski,Glenn Gronkowski,1993-03-25,
glennwinston,Glenn Winston,1989-04-29,
gosdercherilus,Gosder Cherilus,1984-06-28,
gregsalas,Greg Salas,1988-08-25,14106.0
gregscruggs,Greg Scruggs,1990-08-17,
gregtoler,Greg Toler,1985-01-02,
gregtownsend,Greg Townsend,1992-12-11,
gregwarren,Greg Warren,1981-10-18,
gusjohnson,Gus Johnson,1993-08-10,2568174.0
houstonbates,Houston Bates,1990-12-20,
hughthornton,Hugh Thornton,1991-06-28,
ikenemkpali,IK Enemkpali,1991-07-03,
ianwells,Ian Wells,1993-07-14,
ianwilliams,Ian Williams,1989-08-31,
ifoekpreolomu,Ifo Ekpre-Olomu,1993-07-10,
iosiaiosia,Iosia Iosia,1991-12-28,
isaabdulquddus,Isa Abdul-Quddus,1989-08-03,
isaacfruechte,Isaac Fruechte,1991-03-07,
isaiahpead,Isaiah Pead,1989-12-14,14888.0
